Vernier Format 2
cinematique-10-accandstop-reverse.CMBL 2023-11-09 12:05 .
Latest
Time	Position	Velocity	Acceleration
t	x	v	acc
s	m	m/s	m/s²

9	0.3589495	0.000476388888889	-0.00280540123457
9.05	0.359121	0.000285833333334	-0.0148209876543
9.1	0.359121	-0.00200083333333	-0.0122802469136
9.15	0.358778	-0.00209611111111	0.00831033950617
9.2	0.358778	-1.18286457018E-16	0.0121214506173
9.25	0.3589495	-0.000285833333333	0.00635185185185
9.3	0.358778	-0.0008575	0.0206435185185
9.35	0.3586065	0.00238194444444	0.022337345679
9.4	0.359121	0.00371583333333	-0.0132330246914
9.45	0.3592925	-9.5277777778E-05	-0.0294831790123
9.5	0.3589495	-0.00152444444444	-0.00693410493827
9.55	0.3589495	0.000190555555556	0.0029112654321
9.6	0.359121	-0.000190555555556	-0.00423456790124
9.65	0.3589495	-0.000952777777778	-0.00116450617284
9.7	0.3589495	-0.000476388888889	0.00529320987655
9.75	0.3589495	-0.000571666666667	0.013762345679
9.8	0.358778	0.00123861111111	0.0140534722222
9.85	0.359121	0.00200083333333	-0.0067488425926
9.9	0.359121	0.000285833333333	-0.0229460648148
9.95	0.359121	-0.00109569444444	-0.0268630401235
10	0.3589495	-0.00247722222222	-0.0280010802469
